,_id,date,type,location,value,sensorID
5792,629014c3f63320ce651eade2,2022-05-27 02:01:07.873,ground humidity,indoor,0.259,0
5793,629014c9f63320ce651eade3,2022-05-27 02:01:13.575,ground humidity,indoor,0.2414,1
5794,629014d0f63320ce651eade4,2022-05-27 02:01:20.377,ambient humidity,outdoor,42.0,22
5795,629014d9f63320ce651eade5,2022-05-27 02:01:29.718,ambient humidity,indoor,49.29999923706055,27
5796,629014ddf63320ce651eade6,2022-05-27 02:01:33.997,ambient temperature,outdoor,17.799999237060547,22
5797,629014dff63320ce651eade7,2022-05-27 02:01:35.746,ambient temperature,indoor,17.600000381469727,27
5798,629014e1f63320ce651eade8,2022-05-27 02:01:37.659,ground temperature,indoor,20.0,325a0f1e64ff
5799,629014e3f63320ce651eade9,2022-05-27 02:01:39.579,ground temperature,indoor,18.5625,32360c1e64ff
5800,629030e398257b62312e195c,2022-05-27 04:01:07.972,ground humidity,indoor,0.2561,0
5801,629030e998257b62312e195d,2022-05-27 04:01:13.678,ground humidity,indoor,0.2414,1
5802,629030eb98257b62312e195e,2022-05-27 04:01:15.424,ambient humidity,outdoor,43.70000076293945,22
5803,629030ef98257b62312e195f,2022-05-27 04:01:19.698,ambient humidity,indoor,51.599998474121094,27
5804,629030f198257b62312e1960,2022-05-27 04:01:21.455,ambient temperature,outdoor,16.399999618530273,22
5805,629030f398257b62312e1961,2022-05-27 04:01:23.202,ambient temperature,indoor,16.0,27
5806,629030f598257b62312e1962,2022-05-27 04:01:25.099,ground temperature,indoor,18.5,325a0f1e64ff
5807,629030f798257b62312e1963,2022-05-27 04:01:27.019,ground temperature,indoor,17.6875,32360c1e64ff
5808,62904d038800fda57464e928,2022-05-27 06:01:07.552,ground humidity,indoor,0.2512,0
5809,62904d098800fda57464e929,2022-05-27 06:01:13.353,ground humidity,indoor,0.2385,1
5810,62904d0d8800fda57464e92a,2022-05-27 06:01:17.632,ambient humidity,outdoor,45.20000076293945,22
5811,62904d0f8800fda57464e92b,2022-05-27 06:01:19.381,ambient humidity,indoor,53.099998474121094,27
5812,62904d118800fda57464e92c,2022-05-27 06:01:21.126,ambient temperature,outdoor,15.800000190734863,22
5813,62904d128800fda57464e92d,2022-05-27 06:01:22.875,ambient temperature,indoor,15.300000190734863,27
5814,62904d148800fda57464e92e,2022-05-27 06:01:24.779,ground temperature,indoor,17.625,325a0f1e64ff
5815,62904d168800fda57464e92f,2022-05-27 06:01:26.699,ground temperature,indoor,16.9375,32360c1e64ff
5816,629069234017d84a4ecacb3a,2022-05-27 08:01:07.273,ground humidity,indoor,0.2522,0
5817,629069284017d84a4ecacb3b,2022-05-27 08:01:12.878,ground humidity,indoor,0.2385,1
5818,6290692a4017d84a4ecacb3c,2022-05-27 08:01:14.628,ambient humidity,outdoor,46.79999923706055,22
5819,6290692c4017d84a4ecacb3d,2022-05-27 08:01:16.373,ambient humidity,indoor,54.400001525878906,27
5820,6290692e4017d84a4ecacb3e,2022-05-27 08:01:18.125,ambient temperature,outdoor,15.800000190734863,22
5821,6290692f4017d84a4ecacb3f,2022-05-27 08:01:19.875,ambient temperature,indoor,15.399999618530273,27
5822,629069314017d84a4ecacb40,2022-05-27 08:01:21.899,ground temperature,indoor,17.125,325a0f1e64ff
5823,629069334017d84a4ecacb41,2022-05-27 08:01:23.819,ground temperature,indoor,16.25,32360c1e64ff
5824,629085431d00f5010ef00d3f,2022-05-27 10:01:07.125,ground humidity,indoor,0.2493,0
5825,629085481d00f5010ef00d40,2022-05-27 10:01:12.728,ground humidity,indoor,0.2356,1
5826,6290854a1d00f5010ef00d41,2022-05-27 10:01:14.474,ambient humidity,outdoor,40.5,22
5827,6290854c1d00f5010ef00d42,2022-05-27 10:01:16.221,ambient humidity,indoor,47.599998474121094,27
5828,6290854d1d00f5010ef00d43,2022-05-27 10:01:17.966,ambient temperature,outdoor,19.200000762939453,22
5829,6290854f1d00f5010ef00d44,2022-05-27 10:01:19.712,ambient temperature,indoor,19.299999237060547,27
5830,629085511d00f5010ef00d45,2022-05-27 10:01:21.579,ground temperature,indoor,18.3125,325a0f1e64ff
5831,629085531d00f5010ef00d46,2022-05-27 10:01:23.499,ground temperature,indoor,16.3125,32360c1e64ff
5832,6290a1638b01cd9385898e14,2022-05-27 12:01:07.928,ground humidity,indoor,0.2444,0
5833,6290a1698b01cd9385898e15,2022-05-27 12:01:13.518,ground humidity,indoor,0.2297,1
5834,6290a16d8b01cd9385898e16,2022-05-27 12:01:17.797,ambient humidity,outdoor,30.0,22
5835,6290a16f8b01cd9385898e17,2022-05-27 12:01:19.547,ambient humidity,indoor,29.299999237060547,27
5836,6290a1718b01cd9385898e18,2022-05-27 12:01:21.295,ambient temperature,outdoor,25.200000762939453,22
5837,6290a1758b01cd9385898e19,2022-05-27 12:01:25.572,ambient temperature,indoor,38.099998474121094,27
5838,6290a1778b01cd9385898e1a,2022-05-27 12:01:27.499,ground temperature,indoor,21.5625,325a0f1e64ff
5839,6290a1798b01cd9385898e1b,2022-05-27 12:01:29.419,ground temperature,indoor,20.1875,32360c1e64ff
5840,6290bd833fef1640f01c6ad5,2022-05-27 14:01:07.206,ground humidity,indoor,0.2229,0
5841,6290bd883fef1640f01c6ad6,2022-05-27 14:01:12.809,ground humidity,indoor,0.2092,1
5842,6290bd8a3fef1640f01c6ad7,2022-05-27 14:01:14.555,ambient humidity,outdoor,19.299999237060547,22
5843,6290bd8c3fef1640f01c6ad8,2022-05-27 14:01:16.301,ambient humidity,indoor,25.700000762939453,27
5844,6290bd8e3fef1640f01c6ad9,2022-05-27 14:01:18.048,ambient temperature,outdoor,37.5,22
5845,6290bd943fef1640f01c6ada,2022-05-27 14:01:24.852,ambient temperature,indoor,43.20000076293945,27
5846,6290bd963fef1640f01c6adb,2022-05-27 14:01:26.779,ground temperature,indoor,38.625,325a0f1e64ff
5847,6290bd983fef1640f01c6adc,2022-05-27 14:01:28.699,ground temperature,indoor,25.0625,32360c1e64ff
5848,6290d9a34eab81e6c5a24c07,2022-05-27 16:01:07.379,ground humidity,indoor,0.2199,0
5849,6290d9a84eab81e6c5a24c08,2022-05-27 16:01:12.993,ground humidity,indoor,0.1994,1
5850,6290d9aa4eab81e6c5a24c09,2022-05-27 16:01:14.738,ambient humidity,outdoor,13.699999809265137,22
5851,6290d9b44eab81e6c5a24c0a,2022-05-27 16:01:24.069,ambient humidity,indoor,26.200000762939453,27
5852,6290d9b54eab81e6c5a24c0b,2022-05-27 16:01:25.817,ambient temperature,outdoor,42.79999923706055,22
5853,6290d9ba4eab81e6c5a24c0c,2022-05-27 16:01:30.091,ambient temperature,indoor,37.5,27
5854,6290d9bc4eab81e6c5a24c0d,2022-05-27 16:01:32.139,ground temperature,indoor,48.125,325a0f1e64ff
